id,D,C,I,K,P,_SolventAccessibilityC3,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,PAAC4,PAAC5,PAAC10,PAAC15,label
Negative_133,2.299,8.046,3.448,2.299,9.195,0.31,0.046,0.299,0.402,0.333,0.379,0.07,0.081,0.081,0.14,0.058,1.361,4.764,2.042,5.444,0
Positive_518,7.187,0.306,6.422,9.327,4.128,0.205,0.17,0.306,0.381,0.399,0.335,0.305,0.222,0.227,0.178,0.217,3.678,0.157,3.287,2.113,1
Negative_1304,6.052,4.323,2.882,4.899,7.781,0.262,0.147,0.334,0.438,0.349,0.38,0.266,0.211,0.223,0.147,0.188,3.197,2.283,1.522,4.11,0
Negative_394,1.887,1.887,0.539,2.156,9.164,0.216,0.086,0.426,0.464,0.372,0.466,0.257,0.143,0.192,0.135,0.162,1.021,1.021,0.292,4.958,0
Negative_818,2.83,4.717,3.774,20.755,3.774,0.208,0.057,0.236,0.311,0.255,0.302,0.324,0.086,0.267,0.133,0.219,1.282,2.136,1.709,1.709,0
Negative_925,3.75,4.167,3.333,2.5,7.917,0.333,0.163,0.325,0.404,0.371,0.388,0.18,0.197,0.201,0.23,0.159,2.091,2.323,1.858,4.414,0
Negative_1144,1.46,0.73,5.839,10.219,4.38,0.292,0.029,0.321,0.343,0.299,0.372,0.228,0.059,0.199,0.235,0.147,0.671,0.335,2.683,2.013,0
Positive_344,5.287,2.299,4.598,7.126,6.897,0.276,0.147,0.29,0.366,0.356,0.349,0.242,0.196,0.249,0.24,0.214,2.674,1.163,2.326,3.488,1
Positive_868,5.633,2.773,5.719,9.012,4.506,0.253,0.139,0.248,0.332,0.38,0.316,0.277,0.202,0.284,0.225,0.238,2.837,1.397,2.881,2.27,1
Negative_476,2.933,3.733,1.6,1.867,6.933,0.192,0.056,0.4,0.467,0.312,0.448,0.19,0.072,0.128,0.147,0.112,1.529,1.947,0.834,3.615,0
Negative_772,3.723,4.787,9.043,4.255,3.723,0.287,0.096,0.303,0.388,0.388,0.367,0.193,0.144,0.203,0.203,0.182,1.976,2.541,4.8,1.976,0
Negative_616,1.852,5.291,6.878,3.968,4.497,0.246,0.05,0.275,0.347,0.423,0.328,0.17,0.09,0.164,0.18,0.133,1.04,2.972,3.864,2.526,0
Negative_943,5.989,1.633,4.719,3.267,13.249,0.316,0.118,0.403,0.479,0.323,0.441,0.242,0.169,0.198,0.131,0.176,3.2,0.873,2.522,7.08,0
Negative_359,2.681,2.681,1.877,3.753,10.724,0.37,0.083,0.469,0.523,0.276,0.525,0.188,0.118,0.142,0.105,0.121,1.507,1.507,1.055,6.029,0
Positive_707,7.297,1.622,10.27,10.27,2.973,0.203,0.119,0.159,0.249,0.462,0.241,0.268,0.187,0.339,0.26,0.266,3.671,0.816,5.167,1.496,1
Positive_676,3.716,2.365,4.392,6.757,6.419,0.301,0.084,0.28,0.341,0.385,0.355,0.254,0.142,0.285,0.21,0.237,1.98,1.26,2.34,3.42,1
Negative_346,6.0,6.0,2.0,2.0,2.0,0.26,0.12,0.37,0.49,0.3,0.43,0.273,0.182,0.131,0.061,0.091,3.159,3.159,1.053,1.053,0
Positive_1019,5.147,1.106,4.679,6.721,5.444,0.305,0.114,0.315,0.378,0.357,0.381,0.223,0.168,0.225,0.193,0.18,2.668,0.573,2.425,2.822,1
Negative_486,10.036,0.0,2.509,1.792,11.47,0.312,0.186,0.376,0.477,0.251,0.416,0.205,0.23,0.155,0.097,0.14,4.874,0.0,1.219,5.571,0
Negative_481,2.685,4.698,1.342,2.013,10.067,0.322,0.081,0.416,0.49,0.336,0.443,0.182,0.095,0.176,0.142,0.155,1.49,2.607,0.745,5.587,0
Negative_686,4.04,2.02,5.051,6.061,5.051,0.172,0.101,0.323,0.384,0.384,0.354,0.357,0.163,0.286,0.184,0.245,1.908,0.954,2.385,2.385,0
Positive_578,5.594,1.049,5.944,3.846,4.895,0.248,0.126,0.35,0.416,0.357,0.388,0.242,0.182,0.204,0.151,0.175,2.805,0.526,2.981,2.455,1
Positive_1104,3.465,3.465,5.354,3.15,5.197,0.244,0.068,0.328,0.397,0.346,0.389,0.2,0.115,0.162,0.172,0.137,1.833,1.833,2.833,2.75,1
Negative_65,1.587,3.175,4.762,6.349,7.937,0.27,0.063,0.302,0.349,0.302,0.349,0.21,0.081,0.21,0.21,0.177,0.709,1.418,2.128,3.546,0
Negative_770,3.926,2.479,7.645,3.719,4.339,0.279,0.091,0.308,0.372,0.382,0.382,0.224,0.149,0.213,0.184,0.174,2.018,1.275,3.93,2.231,0
Positive_1199,5.333,2.444,4.889,4.222,3.778,0.262,0.118,0.256,0.333,0.384,0.34,0.278,0.185,0.272,0.227,0.212,2.724,1.249,2.498,1.93,1
Negative_210,1.744,4.07,6.977,2.907,3.488,0.215,0.076,0.378,0.436,0.372,0.407,0.24,0.099,0.146,0.152,0.135,0.967,2.257,3.869,1.934,0
Negative_8,3.676,4.412,7.353,2.206,3.676,0.287,0.096,0.287,0.368,0.331,0.368,0.215,0.141,0.222,0.193,0.178,1.764,2.118,3.529,1.764,0
Positive_295,5.962,1.355,4.336,6.504,7.317,0.312,0.149,0.339,0.412,0.32,0.393,0.253,0.182,0.22,0.198,0.19,3.022,0.687,2.198,3.709,1
Negative_1145,3.448,2.874,2.874,4.023,7.471,0.253,0.092,0.31,0.374,0.374,0.345,0.202,0.11,0.191,0.145,0.162,1.794,1.495,1.495,3.887,0
Positive_749,5.051,0.505,4.04,5.303,5.303,0.232,0.124,0.333,0.389,0.364,0.396,0.299,0.205,0.23,0.19,0.185,2.583,0.258,2.066,2.712,1
Negative_977,4.401,3.187,2.883,3.794,6.677,0.238,0.117,0.361,0.437,0.343,0.399,0.316,0.179,0.237,0.176,0.211,2.215,1.604,1.451,3.36,0
Negative_1049,4.183,3.71,2.605,6.314,10.26,0.353,0.105,0.403,0.481,0.296,0.464,0.195,0.159,0.181,0.131,0.145,2.329,2.065,1.45,5.711,0
Negative_863,2.886,2.886,7.152,4.015,7.026,0.274,0.068,0.368,0.425,0.343,0.413,0.205,0.103,0.16,0.173,0.138,1.581,1.581,3.919,3.85,0
Positive_1188,5.278,2.778,1.667,2.778,6.944,0.231,0.122,0.294,0.375,0.361,0.386,0.287,0.184,0.259,0.173,0.189,2.543,1.338,0.803,3.345,1
Positive_727,6.849,2.055,6.849,8.562,2.74,0.243,0.144,0.264,0.353,0.38,0.318,0.316,0.244,0.316,0.182,0.265,3.524,1.057,3.524,1.41,1
Negative_1233,4.401,3.49,4.704,4.552,6.222,0.263,0.12,0.308,0.387,0.373,0.361,0.245,0.185,0.22,0.191,0.185,2.221,1.762,2.374,3.141,0
Positive_830,4.426,0.328,7.213,8.852,3.607,0.23,0.11,0.323,0.37,0.382,0.369,0.271,0.161,0.195,0.172,0.171,2.178,0.161,3.549,1.775,1
Negative_255,4.846,1.322,9.692,1.762,6.608,0.313,0.097,0.313,0.374,0.41,0.379,0.19,0.177,0.19,0.195,0.168,2.728,0.744,5.457,3.72,0
Positive_1119,2.857,1.714,5.905,2.857,6.476,0.286,0.07,0.375,0.421,0.364,0.419,0.135,0.092,0.122,0.164,0.109,1.641,0.985,3.393,3.721,1
Positive_192,8.28,1.274,6.794,7.431,5.308,0.263,0.134,0.31,0.406,0.318,0.365,0.277,0.185,0.245,0.157,0.211,4.199,0.646,3.445,2.692,1
Negative_11,3.191,3.191,2.128,3.191,7.447,0.309,0.074,0.394,0.457,0.298,0.457,0.118,0.129,0.14,0.118,0.075,1.672,1.672,1.115,3.901,0
Positive_730,5.117,0.213,4.691,5.33,1.706,0.2,0.147,0.341,0.394,0.399,0.367,0.365,0.235,0.269,0.171,0.248,2.545,0.106,2.333,0.849,1
Negative_681,4.211,1.754,3.509,1.754,10.175,0.27,0.112,0.351,0.411,0.354,0.411,0.257,0.176,0.246,0.176,0.201,2.058,0.857,1.715,4.972,0
Negative_1316,3.15,1.575,2.362,9.449,11.024,0.268,0.094,0.346,0.394,0.283,0.378,0.27,0.127,0.206,0.135,0.198,1.473,0.736,1.104,5.155,0
Positive_599,5.344,1.527,6.107,4.58,2.672,0.221,0.111,0.37,0.439,0.336,0.416,0.318,0.18,0.234,0.134,0.195,2.715,0.776,3.102,1.357,1
Positive_121,6.615,1.751,5.447,8.755,4.086,0.212,0.16,0.257,0.34,0.385,0.305,0.312,0.22,0.288,0.226,0.25,3.247,0.86,2.674,2.006,1
Positive_954,5.099,3.966,5.524,8.215,4.958,0.232,0.13,0.239,0.33,0.358,0.297,0.312,0.191,0.302,0.244,0.255,2.547,1.981,2.759,2.476,1
Positive_617,4.314,1.569,4.706,3.529,5.49,0.302,0.114,0.341,0.4,0.384,0.4,0.201,0.185,0.181,0.146,0.157,2.423,0.881,2.643,3.083,1
Negative_139,2.4,6.4,6.4,1.6,13.6,0.304,0.048,0.384,0.472,0.28,0.48,0.137,0.073,0.145,0.113,0.105,1.294,3.452,3.452,7.335,0
Positive_613,13.189,0.719,4.556,10.072,6.475,0.211,0.261,0.252,0.391,0.357,0.302,0.262,0.26,0.231,0.173,0.19,6.957,0.379,2.403,3.415,1
Positive_314,4.18,2.572,2.894,4.394,11.04,0.299,0.096,0.431,0.498,0.318,0.469,0.207,0.144,0.17,0.126,0.146,2.295,1.412,1.589,6.062,1
Negative_765,5.742,3.828,4.785,4.785,4.785,0.268,0.124,0.301,0.397,0.378,0.388,0.269,0.216,0.269,0.163,0.197,2.99,1.993,2.492,2.492,0
Positive_18,4.745,2.071,4.832,3.02,8.283,0.292,0.099,0.383,0.451,0.326,0.431,0.238,0.155,0.206,0.149,0.176,2.453,1.071,2.498,4.282,1
Negative_197,2.825,1.695,2.26,2.825,7.91,0.322,0.073,0.395,0.441,0.322,0.446,0.29,0.136,0.261,0.176,0.233,1.393,0.836,1.115,3.901,0
Negative_1136,4.979,1.452,2.282,2.282,7.054,0.199,0.108,0.417,0.481,0.367,0.432,0.274,0.173,0.17,0.102,0.166,2.578,0.752,1.182,3.652,0
Positive_504,14.286,1.242,5.59,8.075,1.242,0.174,0.286,0.205,0.36,0.391,0.224,0.369,0.338,0.319,0.188,0.3,7.19,0.625,2.813,0.625,1
Positive_827,5.782,1.499,6.852,4.711,2.998,0.319,0.099,0.276,0.349,0.336,0.349,0.191,0.148,0.232,0.212,0.189,3.007,0.78,3.564,1.559,1
Negative_424,2.979,2.979,2.128,2.128,10.638,0.298,0.081,0.349,0.409,0.409,0.379,0.197,0.132,0.218,0.137,0.192,1.595,1.595,1.139,5.695,0
Positive_161,5.572,2.053,4.888,4.888,5.865,0.261,0.119,0.298,0.374,0.364,0.365,0.274,0.183,0.254,0.184,0.201,2.814,1.037,2.468,2.962,1
Positive_689,7.767,3.236,4.207,3.883,4.207,0.252,0.142,0.262,0.372,0.359,0.346,0.292,0.224,0.279,0.198,0.218,3.814,1.589,2.066,2.066,1
Positive_1089,7.653,2.041,7.143,10.204,3.061,0.184,0.168,0.245,0.342,0.398,0.281,0.328,0.226,0.267,0.215,0.241,3.771,1.006,3.519,1.508,1
Negative_263,2.809,4.494,4.494,2.247,7.865,0.331,0.067,0.354,0.427,0.354,0.41,0.169,0.107,0.158,0.158,0.113,1.61,2.575,2.575,4.507,0
Negative_767,4.462,8.136,4.462,8.136,5.774,0.255,0.126,0.286,0.412,0.302,0.349,0.232,0.166,0.226,0.163,0.171,2.216,4.04,2.216,2.867,0
Positive_580,6.631,2.653,6.631,5.57,5.04,0.273,0.122,0.318,0.411,0.342,0.408,0.261,0.189,0.245,0.17,0.191,3.457,1.383,3.457,2.627,1
Negative_821,1.111,2.222,2.778,3.333,5.556,0.244,0.106,0.317,0.35,0.372,0.361,0.263,0.179,0.229,0.229,0.201,0.521,1.042,1.303,2.605,0
Negative_16,0.0,11.765,5.882,0.0,7.843,0.255,0.039,0.314,0.431,0.412,0.333,0.2,0.08,0.1,0.1,0.1,0.0,6.598,3.299,4.399,0
Negative_64,1.316,5.263,1.316,1.316,11.842,0.355,0.026,0.513,0.579,0.263,0.539,0.133,0.053,0.107,0.04,0.08,0.793,3.172,0.793,7.136,0
Positive_717,5.333,0.0,5.867,6.8,4.0,0.276,0.115,0.359,0.412,0.364,0.401,0.259,0.172,0.2,0.163,0.174,2.801,0.0,3.082,2.101,1
Positive_1001,5.802,1.37,5.157,3.948,5.882,0.308,0.159,0.338,0.41,0.388,0.387,0.228,0.225,0.218,0.148,0.186,3.083,0.728,2.741,3.126,1
Negative_305,3.597,3.597,0.719,0.719,15.108,0.353,0.065,0.417,0.489,0.266,0.518,0.196,0.109,0.21,0.167,0.138,1.899,1.899,0.38,7.976,0
Negative_111,1.462,0.585,6.14,2.632,6.14,0.295,0.053,0.374,0.395,0.354,0.439,0.141,0.085,0.141,0.182,0.106,0.792,0.317,3.327,3.327,0
Positive_1051,6.061,0.0,5.303,10.606,0.0,0.174,0.159,0.235,0.295,0.409,0.273,0.389,0.252,0.336,0.206,0.298,2.884,0.0,2.524,0.0,1
Negative_284,4.73,5.405,3.378,8.108,10.135,0.284,0.142,0.284,0.385,0.372,0.345,0.238,0.204,0.252,0.204,0.19,2.579,2.947,1.842,5.526,0
Negative_300,1.587,6.349,2.381,1.587,8.73,0.349,0.063,0.429,0.508,0.246,0.5,0.16,0.096,0.136,0.136,0.08,0.846,3.384,1.269,4.654,0
Negative_1186,3.889,5.185,2.778,2.778,10.556,0.294,0.115,0.346,0.437,0.343,0.413,0.26,0.165,0.212,0.154,0.174,2.038,2.717,1.456,5.532,0
Positive_0,4.715,2.481,2.481,4.218,5.211,0.253,0.094,0.337,0.409,0.36,0.387,0.254,0.149,0.236,0.172,0.201,2.384,1.254,1.254,2.635,1
Positive_790,5.476,1.921,6.436,5.091,3.554,0.25,0.106,0.248,0.322,0.439,0.305,0.308,0.172,0.317,0.225,0.276,2.884,1.012,3.39,1.872,1
Negative_983,11.446,4.891,3.954,3.642,6.035,0.214,0.154,0.304,0.467,0.348,0.34,0.319,0.243,0.249,0.138,0.223,5.987,2.559,2.068,3.157,0
Negative_40,0.0,0.0,10.0,5.0,5.0,0.35,0.0,0.45,0.45,0.4,0.5,0.263,0.0,0.105,0.105,0.105,0.0,0.0,6.292,3.146,0
Negative_232,2.732,3.279,5.464,2.732,4.372,0.262,0.098,0.333,0.393,0.372,0.377,0.176,0.148,0.137,0.181,0.126,1.465,1.759,2.931,2.345,0
Negative_215,3.39,1.356,0.339,2.373,11.525,0.261,0.085,0.495,0.542,0.21,0.525,0.289,0.133,0.15,0.102,0.136,1.535,0.614,0.153,5.218,0
Negative_104,3.704,2.646,5.82,5.82,6.349,0.238,0.106,0.286,0.349,0.434,0.333,0.346,0.207,0.303,0.176,0.25,2.019,1.442,3.172,3.46,0
Negative_460,4.348,3.261,3.261,8.696,4.891,0.277,0.114,0.293,0.37,0.364,0.348,0.268,0.169,0.246,0.109,0.213,2.265,1.698,1.698,2.547,0
Positive_724,3.15,2.1,8.661,5.249,4.462,0.262,0.089,0.291,0.344,0.425,0.354,0.205,0.15,0.221,0.158,0.171,1.705,1.136,4.687,2.415,1
Positive_193,4.474,1.23,6.935,7.718,2.908,0.248,0.112,0.31,0.367,0.399,0.359,0.284,0.172,0.253,0.195,0.222,2.294,0.631,3.556,1.491,1
Negative_177,3.909,2.606,3.257,7.492,6.189,0.3,0.075,0.339,0.404,0.362,0.394,0.232,0.111,0.193,0.131,0.17,2.094,1.396,1.745,3.316,0
Positive_445,4.87,1.246,6.908,7.135,2.831,0.247,0.112,0.31,0.371,0.367,0.365,0.271,0.177,0.241,0.173,0.202,2.462,0.63,3.493,1.431,1
Negative_850,2.947,2.316,5.053,2.316,5.263,0.307,0.061,0.373,0.425,0.362,0.423,0.148,0.086,0.146,0.177,0.114,1.637,1.287,2.807,2.924,0
Positive_284,7.395,0.643,8.36,8.039,2.572,0.212,0.145,0.35,0.431,0.328,0.395,0.277,0.206,0.206,0.177,0.177,3.688,0.321,4.169,1.283,1
Negative_637,3.616,2.201,4.717,5.031,5.503,0.244,0.096,0.34,0.398,0.368,0.374,0.309,0.153,0.254,0.176,0.227,1.815,1.105,2.368,2.762,0
Positive_272,3.805,2.114,7.188,6.342,4.651,0.211,0.131,0.294,0.353,0.419,0.347,0.275,0.174,0.25,0.189,0.212,1.944,1.08,3.672,2.376,1
Positive_789,5.678,1.262,5.678,5.047,5.363,0.306,0.104,0.347,0.416,0.306,0.432,0.259,0.171,0.228,0.177,0.184,2.908,0.646,2.908,2.747,1
Positive_122,5.091,1.674,4.742,6.276,6.206,0.26,0.121,0.317,0.385,0.363,0.374,0.284,0.179,0.248,0.178,0.207,2.557,0.841,2.382,3.117,1
Negative_1254,6.286,2.095,3.048,2.857,6.857,0.251,0.175,0.335,0.419,0.35,0.379,0.292,0.212,0.204,0.151,0.183,3.037,1.012,1.472,3.313,0
Positive_536,8.85,1.18,6.785,9.44,2.065,0.245,0.153,0.271,0.372,0.354,0.339,0.308,0.237,0.269,0.183,0.216,4.27,0.569,3.274,0.996,1
Positive_589,3.498,3.498,4.527,6.79,4.938,0.28,0.128,0.267,0.337,0.387,0.331,0.272,0.194,0.278,0.198,0.241,1.813,1.813,2.347,2.56,1
Negative_660,3.241,2.315,5.093,3.241,3.704,0.242,0.086,0.373,0.429,0.355,0.415,0.192,0.125,0.158,0.161,0.134,1.716,1.226,2.697,1.962,0
Negative_417,4.698,5.145,4.027,9.62,4.251,0.271,0.11,0.304,0.403,0.347,0.356,0.283,0.157,0.267,0.184,0.229,2.428,2.659,2.081,2.197,0
Negative_901,0.0,16.667,0.0,11.111,37.5,0.5,0.028,0.458,0.625,0.222,0.486,0.141,0.056,0.169,0.042,0.141,0.0,11.985,0.0,26.965,0
Positive_430,3.901,1.064,6.738,4.61,4.255,0.238,0.124,0.33,0.379,0.404,0.383,0.288,0.203,0.256,0.171,0.206,2.04,0.557,3.524,2.226,1
Positive_767,6.397,1.347,6.902,6.734,5.387,0.195,0.133,0.382,0.46,0.352,0.424,0.3,0.224,0.211,0.137,0.18,3.335,0.702,3.598,2.808,1
Negative_646,1.471,10.294,2.941,13.235,4.412,0.206,0.132,0.25,0.368,0.382,0.279,0.313,0.134,0.239,0.149,0.224,0.783,5.483,1.566,2.35,0
Negative_572,2.083,12.5,0.0,2.083,2.083,0.312,0.042,0.396,0.542,0.125,0.562,0.106,0.064,0.085,0.064,0.021,1.06,6.364,0.0,1.06,0
Negative_464,3.261,3.261,6.522,7.609,4.348,0.207,0.141,0.293,0.359,0.424,0.326,0.308,0.209,0.242,0.154,0.231,1.617,1.617,3.234,2.156,0
Negative_81,4.865,1.081,2.162,7.027,7.568,0.292,0.07,0.405,0.465,0.238,0.449,0.245,0.103,0.207,0.158,0.185,2.349,0.522,1.044,3.654,0
Negative_852,1.157,2.315,2.778,3.241,4.63,0.269,0.053,0.368,0.403,0.343,0.417,0.186,0.097,0.146,0.158,0.123,0.609,1.219,1.463,2.439,0
Positive_126,6.27,2.508,5.956,5.643,7.053,0.298,0.141,0.323,0.411,0.379,0.378,0.25,0.223,0.234,0.185,0.195,3.448,1.379,3.275,3.878,1
Negative_1016,6.436,4.455,1.98,1.98,5.941,0.213,0.114,0.411,0.52,0.287,0.436,0.323,0.194,0.194,0.104,0.174,3.164,2.19,0.973,2.921,0
Positive_139,7.531,1.051,4.378,6.48,4.203,0.243,0.14,0.289,0.375,0.342,0.371,0.279,0.212,0.258,0.202,0.186,3.733,0.521,2.17,2.083,1
Negative_965,4.348,6.522,6.522,5.978,4.891,0.277,0.114,0.332,0.44,0.375,0.364,0.224,0.158,0.219,0.126,0.186,2.416,3.624,3.624,2.718,0
Negative_32,0.0,8.108,2.703,0.0,12.162,0.338,0.014,0.459,0.541,0.243,0.5,0.205,0.027,0.137,0.041,0.11,0.0,4.33,1.444,6.495,0
Positive_930,5.285,1.016,7.114,6.301,5.285,0.325,0.091,0.352,0.415,0.323,0.415,0.206,0.159,0.206,0.179,0.169,2.788,0.536,3.752,2.788,1
Positive_510,4.401,1.294,7.379,5.955,2.977,0.242,0.096,0.287,0.344,0.414,0.329,0.245,0.139,0.229,0.201,0.201,2.314,0.68,3.88,1.565,1
Negative_108,1.852,3.704,1.852,11.111,7.407,0.185,0.074,0.333,0.389,0.333,0.333,0.472,0.132,0.302,0.17,0.302,0.9,1.801,0.9,3.601,0
Negative_171,6.569,3.285,4.745,2.555,4.015,0.197,0.124,0.35,0.449,0.383,0.391,0.33,0.179,0.231,0.139,0.194,3.406,1.703,2.461,2.082,0
Positive_373,4.846,3.744,6.828,5.507,7.048,0.264,0.115,0.311,0.396,0.372,0.363,0.256,0.19,0.245,0.17,0.199,2.516,1.944,3.546,3.66,1
Positive_759,5.112,1.636,4.499,5.726,5.93,0.223,0.106,0.266,0.333,0.378,0.329,0.299,0.176,0.289,0.201,0.236,2.455,0.786,2.161,2.848,1
Negative_1055,3.55,3.55,4.734,4.142,5.523,0.25,0.105,0.318,0.389,0.404,0.371,0.237,0.17,0.204,0.154,0.178,1.946,1.946,2.596,3.028,0
Positive_1118,5.281,1.618,4.77,4.089,5.707,0.247,0.118,0.351,0.42,0.365,0.405,0.287,0.184,0.215,0.159,0.182,2.709,0.83,2.447,2.928,1
Negative_625,2.73,4.437,2.389,0.0,8.191,0.201,0.092,0.42,0.491,0.297,0.461,0.274,0.154,0.182,0.137,0.158,1.309,2.127,1.145,3.927,0
Positive_728,3.933,2.503,5.244,4.41,3.099,0.248,0.099,0.257,0.322,0.442,0.312,0.31,0.168,0.326,0.212,0.284,2.09,1.33,2.787,1.647,1
Negative_491,2.381,10.714,3.571,2.381,4.762,0.25,0.036,0.333,0.464,0.274,0.357,0.145,0.048,0.108,0.06,0.084,1.227,5.523,1.841,2.455,0
Positive_548,1.149,2.874,6.897,3.161,5.747,0.287,0.057,0.33,0.371,0.365,0.399,0.161,0.092,0.144,0.205,0.115,0.649,1.623,3.896,3.246,1
Negative_299,0.0,3.846,3.846,3.846,7.692,0.327,0.077,0.365,0.404,0.308,0.423,0.235,0.118,0.196,0.196,0.157,0.0,1.879,1.879,3.757,0
Negative_1010,3.759,1.316,4.323,1.316,8.083,0.271,0.081,0.404,0.455,0.344,0.461,0.16,0.126,0.137,0.13,0.104,2.015,0.706,2.318,4.333,0
Negative_692,2.26,0.565,1.695,3.955,12.429,0.331,0.056,0.534,0.562,0.229,0.596,0.164,0.085,0.142,0.088,0.099,1.279,0.32,0.96,7.036,0
Positive_1153,4.348,2.508,5.853,4.515,6.187,0.289,0.129,0.341,0.41,0.391,0.398,0.251,0.186,0.208,0.147,0.178,2.286,1.318,3.077,3.252,1
Negative_116,4.384,3.035,3.204,2.53,6.408,0.277,0.086,0.371,0.445,0.305,0.45,0.23,0.142,0.172,0.142,0.13,2.266,1.569,1.656,3.312,0
Negative_1176,4.536,5.979,2.68,5.361,4.536,0.26,0.144,0.365,0.47,0.305,0.419,0.25,0.2,0.19,0.149,0.155,2.391,3.151,1.412,2.391,0
Negative_1095,3.413,8.874,1.706,3.072,8.874,0.29,0.092,0.389,0.512,0.283,0.43,0.182,0.161,0.14,0.099,0.116,1.815,4.718,0.907,4.718,0
Positive_574,7.512,1.878,5.164,5.634,4.225,0.272,0.122,0.235,0.329,0.371,0.315,0.288,0.189,0.33,0.231,0.259,3.868,0.967,2.659,2.176,1
Positive_71,6.508,5.206,3.905,5.206,4.338,0.234,0.139,0.289,0.406,0.343,0.345,0.252,0.2,0.241,0.18,0.198,3.28,2.624,1.968,2.187,1
Positive_252,4.062,2.708,6.77,6.383,5.029,0.25,0.122,0.304,0.371,0.395,0.368,0.267,0.19,0.233,0.176,0.198,2.061,1.374,3.435,2.552,1
Positive_383,2.967,3.858,7.418,7.418,3.561,0.288,0.05,0.255,0.323,0.371,0.332,0.164,0.068,0.173,0.211,0.134,1.645,2.139,4.113,1.974,1
Positive_413,6.316,2.105,3.86,6.667,4.561,0.232,0.144,0.309,0.393,0.386,0.361,0.264,0.201,0.225,0.173,0.19,3.263,1.088,1.994,2.357,1
Positive_585,6.203,0.496,5.955,4.715,6.7,0.246,0.124,0.308,0.375,0.385,0.387,0.264,0.204,0.244,0.204,0.184,3.166,0.253,3.039,3.419,1
Positive_1062,4.843,3.141,6.806,5.497,4.712,0.276,0.096,0.275,0.355,0.397,0.347,0.224,0.143,0.233,0.198,0.194,2.616,1.697,3.676,2.545,1
Negative_934,3.906,0.0,3.906,1.562,7.031,0.297,0.117,0.336,0.375,0.344,0.398,0.244,0.15,0.236,0.228,0.165,1.79,0.0,1.79,3.221,0
Positive_968,6.019,0.926,2.315,7.407,8.333,0.306,0.13,0.389,0.458,0.306,0.417,0.26,0.186,0.191,0.177,0.163,3.049,0.469,1.173,4.221,1
Negative_1286,3.738,2.804,1.869,4.673,11.215,0.252,0.15,0.308,0.374,0.355,0.364,0.321,0.208,0.264,0.179,0.236,1.766,1.325,0.883,5.298,0
Positive_924,5.429,1.416,3.462,6.373,6.373,0.272,0.138,0.33,0.399,0.352,0.376,0.279,0.202,0.224,0.182,0.197,2.733,0.713,1.743,3.209,1
Negative_937,1.942,0.0,0.971,1.942,4.854,0.262,0.087,0.388,0.408,0.369,0.437,0.225,0.147,0.167,0.157,0.147,1.026,0.0,0.513,2.563,0
Negative_141,8.125,1.875,3.125,1.25,5.0,0.256,0.175,0.275,0.375,0.425,0.3,0.226,0.27,0.27,0.151,0.239,4.267,0.985,1.641,2.626,0
Negative_556,3.521,2.113,2.817,2.113,4.93,0.225,0.113,0.415,0.472,0.331,0.465,0.255,0.177,0.099,0.149,0.092,1.789,1.073,1.431,2.504,0
Positive_994,2.21,2.762,4.972,9.392,4.972,0.221,0.144,0.271,0.32,0.431,0.304,0.272,0.133,0.222,0.228,0.2,1.173,1.466,2.639,2.639,1
Negative_37,2.355,2.57,4.283,6.638,4.711,0.289,0.088,0.33,0.379,0.355,0.39,0.258,0.142,0.236,0.197,0.206,1.231,1.343,2.238,2.462,0
Negative_450,4.946,6.667,3.226,6.667,4.731,0.273,0.099,0.325,0.441,0.344,0.37,0.256,0.142,0.233,0.166,0.194,2.679,3.611,1.747,2.562,0
Negative_1117,4.149,4.564,4.149,5.809,5.809,0.241,0.12,0.307,0.394,0.349,0.344,0.321,0.188,0.258,0.167,0.246,2.008,2.208,2.008,2.811,0
Positive_188,5.526,1.783,4.813,6.952,4.635,0.257,0.128,0.273,0.346,0.357,0.358,0.279,0.193,0.263,0.227,0.207,2.734,0.882,2.381,2.293,1
Negative_907,3.292,6.584,3.704,4.115,4.938,0.247,0.07,0.325,0.424,0.362,0.366,0.165,0.091,0.165,0.153,0.145,1.875,3.751,2.11,2.813,0
Positive_486,4.337,1.205,4.337,6.506,4.096,0.267,0.123,0.313,0.369,0.366,0.364,0.319,0.169,0.249,0.196,0.225,2.252,0.626,2.252,2.127,1
Positive_1112,1.934,3.591,7.459,1.934,6.077,0.24,0.047,0.323,0.378,0.39,0.39,0.183,0.086,0.166,0.166,0.119,1.033,1.919,3.986,3.247,1
Negative_303,1.379,4.138,1.379,0.69,8.276,0.276,0.048,0.386,0.441,0.359,0.448,0.194,0.083,0.153,0.16,0.118,0.733,2.199,0.733,4.398,0
Positive_893,2.206,0.0,4.412,11.765,5.147,0.199,0.074,0.331,0.353,0.301,0.353,0.356,0.111,0.215,0.207,0.193,0.991,0.0,1.981,2.311,1
Negative_6,3.846,2.885,5.769,4.808,3.846,0.269,0.087,0.317,0.385,0.394,0.404,0.272,0.136,0.252,0.155,0.214,2.146,1.61,3.219,2.146,0
