id,D,C,I,K,P,_SolventAccessibilityC3,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,PAAC4,PAAC5,PAAC10,PAAC15,label
Negative_172,6.081,3.041,4.392,5.068,5.743,0.236,0.128,0.318,0.409,0.365,0.348,0.278,0.183,0.275,0.166,0.244,3.006,1.503,2.171,2.839,0
Positive_81,3.906,0.0,4.688,9.375,0.781,0.273,0.125,0.305,0.344,0.367,0.359,0.291,0.197,0.291,0.205,0.244,2.0,0.0,2.401,0.4,1
Positive_219,4.575,2.614,5.556,5.556,5.882,0.242,0.101,0.297,0.369,0.389,0.353,0.256,0.157,0.22,0.197,0.184,2.38,1.36,2.89,3.06,1
Negative_125,3.061,3.061,3.699,4.847,5.74,0.267,0.13,0.399,0.46,0.343,0.459,0.25,0.189,0.186,0.115,0.147,1.66,1.66,2.006,3.113,0
Negative_57,6.005,12.01,1.567,1.567,9.661,0.24,0.097,0.376,0.556,0.266,0.423,0.254,0.144,0.22,0.081,0.181,3.234,6.467,0.844,5.202,0
Positive_90,4.169,1.278,2.286,4.506,18.157,0.266,0.095,0.607,0.661,0.201,0.619,0.281,0.15,0.078,0.059,0.07,2.298,0.705,1.26,10.01,1
Negative_196,3.181,2.883,1.889,3.579,16.402,0.353,0.095,0.513,0.574,0.244,0.567,0.192,0.145,0.128,0.089,0.1,1.754,1.59,1.042,9.044,0
Positive_160,7.222,1.667,5.556,5.0,2.778,0.211,0.156,0.267,0.356,0.406,0.3,0.318,0.223,0.291,0.156,0.274,3.629,0.838,2.791,1.396,1
Positive_1,3.499,1.197,6.446,5.709,4.88,0.251,0.075,0.397,0.444,0.361,0.444,0.221,0.126,0.179,0.133,0.154,1.95,0.667,3.592,2.719,1
Positive_120,3.521,2.465,7.394,5.282,3.521,0.227,0.092,0.279,0.339,0.411,0.319,0.282,0.136,0.262,0.207,0.23,1.763,1.235,3.703,1.763,1
Positive_23,5.743,2.365,1.351,1.014,5.743,0.196,0.125,0.392,0.473,0.318,0.429,0.312,0.197,0.18,0.156,0.163,2.719,1.12,0.64,2.719,1
Positive_176,6.122,0.34,7.143,9.864,3.401,0.156,0.16,0.299,0.364,0.418,0.32,0.355,0.225,0.242,0.184,0.232,3.069,0.17,3.581,1.705,1
Negative_214,6.897,4.598,1.149,3.448,3.448,0.23,0.161,0.264,0.379,0.368,0.322,0.256,0.163,0.198,0.105,0.186,3.662,2.442,0.61,1.831,0
Negative_181,3.813,2.08,2.773,7.106,7.626,0.326,0.102,0.409,0.468,0.295,0.452,0.229,0.149,0.177,0.148,0.146,2.028,1.106,1.475,4.057,0
Negative_165,3.686,2.211,2.948,3.686,6.88,0.273,0.13,0.324,0.383,0.405,0.373,0.236,0.155,0.202,0.155,0.175,1.901,1.14,1.521,3.549,0
Positive_195,6.752,0.0,4.562,6.569,3.102,0.268,0.108,0.35,0.418,0.347,0.436,0.267,0.181,0.219,0.176,0.161,3.563,0.0,2.408,1.637,1
Positive_30,5.576,0.372,7.435,3.346,4.833,0.234,0.097,0.394,0.454,0.346,0.435,0.269,0.157,0.194,0.116,0.164,2.856,0.191,3.808,2.475,1
Positive_205,6.061,1.981,6.294,7.576,5.361,0.228,0.133,0.302,0.382,0.366,0.345,0.299,0.201,0.247,0.186,0.217,3.041,0.994,3.158,2.69,1
Positive_175,4.734,0.0,3.846,7.692,4.438,0.228,0.086,0.379,0.426,0.358,0.423,0.315,0.163,0.202,0.16,0.178,2.49,0.0,2.023,2.334,1
Negative_231,0.0,20.339,0.0,5.085,16.102,0.432,0.008,0.534,0.737,0.127,0.568,0.111,0.017,0.111,0.017,0.094,0.0,13.777,0.0,10.907,0
Negative_78,8.276,10.345,4.138,13.103,8.276,0.255,0.117,0.241,0.428,0.241,0.331,0.292,0.174,0.292,0.181,0.243,4.395,5.494,2.198,4.395,0
Negative_27,2.326,3.488,0.581,3.488,19.186,0.401,0.076,0.477,0.535,0.203,0.552,0.246,0.123,0.14,0.105,0.117,1.188,1.782,0.297,9.801,0
Negative_95,3.226,1.613,8.871,4.032,4.839,0.242,0.073,0.427,0.476,0.331,0.468,0.244,0.106,0.154,0.114,0.138,1.746,0.873,4.8,2.618,0
Positive_39,2.73,1.737,3.474,7.94,7.444,0.268,0.104,0.305,0.35,0.395,0.365,0.259,0.149,0.224,0.209,0.194,1.399,0.89,1.78,3.814,1
Negative_161,2.913,3.883,6.472,4.207,3.883,0.34,0.049,0.288,0.356,0.372,0.372,0.136,0.075,0.169,0.218,0.133,1.665,2.219,3.699,2.219,0
Positive_170,6.383,0.0,4.255,11.915,4.255,0.213,0.115,0.264,0.328,0.379,0.306,0.329,0.167,0.308,0.192,0.269,3.029,0.0,2.019,2.019,1
Negative_132,4.178,1.139,2.767,4.069,10.364,0.301,0.122,0.421,0.474,0.346,0.457,0.264,0.191,0.183,0.139,0.162,2.227,0.607,1.475,5.525,0
Positive_51,5.654,0.0,5.654,3.18,7.42,0.269,0.124,0.318,0.375,0.364,0.399,0.238,0.202,0.206,0.195,0.149,2.824,0.0,2.824,3.706,1
Positive_166,7.399,0.448,4.484,4.484,2.018,0.238,0.121,0.339,0.417,0.314,0.401,0.312,0.216,0.254,0.153,0.207,3.628,0.22,2.199,0.99,1
Positive_110,6.863,0.98,3.431,1.961,5.392,0.199,0.113,0.4,0.478,0.341,0.434,0.295,0.177,0.179,0.113,0.16,3.379,0.483,1.689,2.655,1
Positive_109,6.468,0.0,7.463,5.473,4.975,0.244,0.119,0.368,0.433,0.368,0.418,0.265,0.2,0.175,0.12,0.15,3.396,0.0,3.919,2.612,1
Positive_212,8.127,0.707,2.827,1.767,6.36,0.247,0.124,0.371,0.459,0.329,0.424,0.294,0.191,0.238,0.149,0.213,3.963,0.345,1.378,3.101,1
Positive_87,6.873,1.031,3.093,1.375,3.78,0.22,0.117,0.402,0.481,0.316,0.436,0.255,0.193,0.186,0.117,0.169,3.339,0.501,1.503,1.836,1
Negative_87,4.025,3.096,0.619,0.619,7.121,0.238,0.118,0.409,0.48,0.313,0.455,0.286,0.18,0.177,0.102,0.158,1.988,1.529,0.306,3.517,0
Positive_98,0.0,2.273,2.273,0.0,9.091,0.295,0.068,0.455,0.477,0.273,0.477,0.209,0.116,0.14,0.163,0.14,0.0,0.968,0.968,3.873,1
Positive_60,4.965,0.473,8.511,7.565,4.019,0.203,0.144,0.326,0.381,0.397,0.374,0.318,0.223,0.254,0.197,0.213,2.478,0.236,4.248,2.006,1
Negative_94,4.684,1.629,3.055,3.666,8.758,0.251,0.108,0.373,0.436,0.34,0.411,0.269,0.169,0.206,0.137,0.188,2.28,0.793,1.487,4.262,0
Positive_78,6.443,0.0,6.443,6.186,3.866,0.219,0.149,0.314,0.379,0.379,0.363,0.287,0.22,0.24,0.152,0.214,3.144,0.0,3.144,1.886,1
Negative_135,2.884,0.465,2.605,4.093,15.442,0.387,0.081,0.492,0.526,0.288,0.548,0.182,0.111,0.139,0.128,0.108,1.649,0.266,1.49,8.831,0
Positive_62,5.903,0.358,5.009,3.399,5.188,0.218,0.104,0.349,0.411,0.385,0.392,0.287,0.176,0.228,0.167,0.185,3.047,0.185,2.585,2.678,1
Negative_38,6.714,2.65,3.357,4.24,7.951,0.314,0.106,0.373,0.466,0.297,0.419,0.221,0.175,0.198,0.136,0.172,3.441,1.358,1.721,4.075,0
Positive_196,5.527,1.535,4.504,5.732,6.755,0.304,0.124,0.329,0.399,0.357,0.396,0.22,0.182,0.2,0.162,0.164,2.89,0.803,2.355,3.532,1
Negative_175,3.676,2.206,1.961,4.412,11.275,0.299,0.115,0.39,0.449,0.316,0.431,0.231,0.174,0.162,0.162,0.13,1.879,1.128,1.002,5.764,0
Positive_45,6.881,1.376,6.422,7.798,3.67,0.266,0.147,0.289,0.372,0.362,0.376,0.263,0.217,0.258,0.152,0.18,3.54,0.708,3.304,1.888,1
Negative_52,4.233,4.056,1.764,4.233,10.229,0.298,0.093,0.399,0.481,0.277,0.446,0.247,0.148,0.203,0.15,0.171,2.099,2.011,0.875,5.071,0
Positive_203,6.484,1.441,4.755,10.375,3.53,0.211,0.177,0.231,0.311,0.424,0.274,0.312,0.245,0.296,0.229,0.261,3.302,0.734,2.422,1.798,1
Negative_29,4.96,1.984,2.976,5.754,10.913,0.319,0.075,0.415,0.484,0.284,0.47,0.217,0.103,0.173,0.137,0.147,2.579,1.032,1.547,5.675,0
Positive_183,6.303,2.101,5.672,8.613,5.672,0.246,0.128,0.271,0.355,0.374,0.321,0.286,0.196,0.288,0.196,0.255,3.129,1.043,2.816,2.816,1
Positive_222,5.308,2.844,6.161,4.645,4.834,0.275,0.112,0.332,0.413,0.345,0.384,0.269,0.176,0.243,0.17,0.204,2.714,1.454,3.151,2.472,1
Negative_230,4.061,2.03,1.777,2.284,10.406,0.239,0.119,0.421,0.482,0.327,0.431,0.272,0.183,0.16,0.148,0.153,2.002,1.001,0.876,5.129,0
Positive_143,6.154,0.0,3.846,8.462,3.077,0.262,0.108,0.3,0.362,0.377,0.346,0.279,0.178,0.302,0.217,0.256,3.204,0.0,2.002,1.602,1
Positive_76,3.828,1.435,6.699,8.612,5.263,0.23,0.115,0.273,0.325,0.402,0.34,0.332,0.173,0.312,0.25,0.26,1.94,0.727,3.395,2.667,1
Positive_52,5.775,1.52,7.599,6.991,3.04,0.243,0.119,0.264,0.337,0.419,0.325,0.271,0.174,0.284,0.216,0.216,3.044,0.801,4.006,1.603,1
Positive_103,5.802,0.341,5.802,4.437,5.119,0.239,0.119,0.331,0.392,0.389,0.406,0.267,0.202,0.212,0.168,0.175,2.912,0.171,2.912,2.569,1
Positive_9,3.413,2.389,7.167,5.802,4.778,0.28,0.096,0.229,0.287,0.355,0.352,0.202,0.161,0.281,0.226,0.188,1.784,1.249,3.746,2.498,1
Negative_229,6.11,1.639,2.235,7.004,9.836,0.283,0.143,0.477,0.554,0.249,0.505,0.23,0.207,0.118,0.094,0.104,3.16,0.848,1.156,5.088,0
Negative_91,5.164,4.225,2.817,10.329,9.39,0.258,0.141,0.235,0.329,0.385,0.296,0.245,0.179,0.274,0.226,0.222,2.723,2.228,1.486,4.952,0
Negative_168,8.293,1.951,2.439,4.39,4.878,0.293,0.156,0.337,0.439,0.341,0.385,0.255,0.196,0.221,0.127,0.191,4.384,1.031,1.289,2.579,0
Negative_222,3.15,0.787,1.378,3.543,11.122,0.352,0.07,0.448,0.487,0.336,0.495,0.187,0.109,0.144,0.13,0.119,1.85,0.462,0.809,6.53,0
Negative_232,3.175,1.27,1.27,1.587,5.714,0.26,0.102,0.441,0.486,0.279,0.498,0.232,0.15,0.182,0.146,0.14,1.504,0.601,0.601,2.706,0
Negative_194,2.439,3.049,1.22,0.61,8.537,0.305,0.098,0.366,0.421,0.421,0.415,0.178,0.135,0.153,0.141,0.123,1.333,1.667,0.667,4.667,0
Positive_59,9.365,1.338,5.017,4.348,4.013,0.201,0.134,0.351,0.458,0.344,0.395,0.295,0.205,0.201,0.111,0.168,4.776,0.682,2.558,2.046,1
Negative_1,2.994,2.395,3.892,9.581,12.275,0.371,0.057,0.419,0.473,0.251,0.473,0.165,0.093,0.147,0.126,0.105,1.613,1.29,2.097,6.614,0
Negative_147,2.97,1.32,0.99,1.32,6.601,0.281,0.076,0.386,0.429,0.33,0.452,0.252,0.123,0.222,0.182,0.185,1.481,0.658,0.494,3.291,0
Negative_227,3.502,1.556,5.837,3.113,4.28,0.3,0.093,0.331,0.381,0.358,0.385,0.191,0.156,0.152,0.176,0.121,1.83,0.813,3.05,2.236,0
Positive_162,3.478,0.0,4.348,5.217,6.087,0.322,0.104,0.487,0.522,0.296,0.539,0.184,0.175,0.096,0.105,0.07,1.92,0.0,2.401,3.361,1
Positive_208,6.957,1.739,5.652,7.391,5.0,0.261,0.141,0.298,0.385,0.38,0.346,0.277,0.205,0.251,0.163,0.22,3.661,0.915,2.975,2.631,1
Negative_184,1.942,1.942,0.0,6.796,6.796,0.282,0.233,0.369,0.408,0.417,0.408,0.235,0.176,0.098,0.118,0.098,1.123,1.123,0.0,3.931,0
Positive_61,5.952,1.19,8.929,6.25,5.655,0.208,0.11,0.31,0.381,0.405,0.357,0.304,0.164,0.254,0.164,0.233,3.034,0.607,4.551,2.882,1
Positive_121,4.972,0.0,6.63,4.42,3.867,0.271,0.116,0.32,0.37,0.37,0.387,0.278,0.194,0.244,0.178,0.211,2.589,0.0,3.452,2.013,1
Positive_152,6.054,1.794,8.969,9.417,3.363,0.2,0.148,0.249,0.327,0.439,0.294,0.303,0.225,0.267,0.178,0.231,3.074,0.911,4.554,1.708,1
Negative_13,5.857,6.941,2.603,3.471,3.037,0.18,0.134,0.295,0.423,0.445,0.312,0.363,0.213,0.304,0.143,0.287,3.081,3.652,1.369,1.598,0
Positive_50,5.743,0.338,4.392,2.703,7.432,0.264,0.101,0.345,0.405,0.345,0.385,0.234,0.18,0.224,0.173,0.19,2.846,0.167,2.176,3.683,1
Negative_236,4.404,0.752,2.685,5.478,12.889,0.348,0.108,0.446,0.497,0.348,0.474,0.21,0.165,0.174,0.133,0.152,2.575,0.44,1.57,7.536,0
Positive_83,5.862,0.676,6.426,5.411,4.059,0.234,0.139,0.307,0.372,0.37,0.38,0.313,0.212,0.242,0.19,0.203,2.876,0.332,3.153,1.992,1
Negative_127,6.051,3.503,2.866,4.459,3.822,0.29,0.083,0.382,0.478,0.283,0.427,0.265,0.141,0.233,0.169,0.214,3.017,1.747,1.429,1.906,0
Positive_201,3.788,1.515,6.818,13.636,0.758,0.22,0.106,0.288,0.341,0.371,0.303,0.321,0.168,0.26,0.168,0.244,1.84,0.736,3.313,0.368,1
Negative_75,3.279,4.098,5.738,3.279,4.918,0.311,0.045,0.344,0.418,0.332,0.414,0.177,0.082,0.206,0.181,0.16,1.811,2.263,3.168,2.716,0
Positive_163,4.474,2.105,2.368,2.105,8.158,0.287,0.095,0.371,0.437,0.339,0.442,0.264,0.166,0.179,0.142,0.14,2.287,1.076,1.21,4.17,1
Negative_64,2.105,0.789,2.105,5.263,14.737,0.308,0.1,0.487,0.516,0.3,0.508,0.214,0.132,0.164,0.142,0.145,1.156,0.433,1.156,8.094,0
Positive_88,5.703,2.444,3.259,7.332,4.684,0.261,0.118,0.295,0.377,0.342,0.356,0.261,0.178,0.245,0.165,0.2,2.822,1.209,1.613,2.318,1
Negative_228,5.181,2.639,3.617,8.7,6.647,0.292,0.134,0.359,0.437,0.344,0.382,0.242,0.195,0.188,0.136,0.171,2.75,1.401,1.92,3.528,0
Negative_70,2.92,2.92,6.569,5.839,3.65,0.241,0.131,0.27,0.328,0.416,0.336,0.294,0.184,0.257,0.243,0.221,1.443,1.443,3.246,1.804,0
Negative_88,5.22,2.447,1.142,6.199,8.483,0.336,0.122,0.38,0.457,0.3,0.427,0.216,0.152,0.18,0.124,0.158,2.737,1.283,0.599,4.448,0
Negative_74,3.324,0.831,1.939,1.939,16.066,0.41,0.066,0.496,0.537,0.244,0.548,0.136,0.111,0.122,0.142,0.092,1.876,0.469,1.094,9.067,0
Positive_217,7.08,1.77,6.416,7.965,4.204,0.246,0.117,0.312,0.4,0.314,0.372,0.275,0.175,0.251,0.195,0.208,3.48,0.87,3.153,2.066,1
Positive_33,3.793,1.264,3.287,3.413,5.815,0.258,0.099,0.319,0.369,0.375,0.393,0.258,0.144,0.23,0.18,0.178,1.91,0.637,1.655,2.929,1
Positive_197,5.245,1.748,5.594,6.993,3.846,0.192,0.126,0.36,0.43,0.357,0.395,0.298,0.193,0.204,0.193,0.182,2.611,0.87,2.785,1.915,1
Negative_159,3.182,0.227,2.273,4.545,26.591,0.452,0.064,0.561,0.595,0.209,0.6,0.171,0.082,0.125,0.1,0.096,1.75,0.125,1.25,14.622,0
Positive_95,4.8,0.8,3.6,5.8,6.4,0.338,0.096,0.37,0.426,0.372,0.404,0.222,0.168,0.206,0.136,0.188,2.721,0.454,2.041,3.629,1
Positive_108,7.735,1.105,4.42,0.0,3.315,0.254,0.11,0.365,0.453,0.298,0.436,0.294,0.2,0.233,0.161,0.189,3.634,0.519,2.076,1.557,1
Negative_101,4.982,2.309,4.253,4.131,7.533,0.339,0.106,0.418,0.491,0.343,0.45,0.207,0.187,0.186,0.108,0.169,2.888,1.338,2.465,4.366,0
Negative_134,2.538,3.046,5.584,4.061,7.614,0.294,0.081,0.36,0.416,0.386,0.421,0.173,0.153,0.189,0.173,0.133,1.452,1.743,3.195,4.356,0
Positive_19,5.151,1.421,4.796,6.394,6.217,0.25,0.105,0.364,0.43,0.325,0.417,0.285,0.155,0.21,0.157,0.183,2.58,0.712,2.402,3.114,1
Positive_124,4.274,2.564,1.923,3.205,9.615,0.325,0.09,0.402,0.47,0.31,0.444,0.206,0.139,0.169,0.105,0.133,2.232,1.339,1.004,5.022,1
Positive_104,7.167,0.0,6.143,8.191,3.072,0.184,0.154,0.229,0.3,0.389,0.283,0.366,0.219,0.318,0.233,0.277,3.264,0.0,2.797,1.399,1
Negative_208,4.655,1.21,2.98,2.514,8.939,0.308,0.115,0.408,0.466,0.344,0.452,0.233,0.158,0.187,0.126,0.156,2.455,0.638,1.572,4.714,0
Positive_129,3.828,0.478,6.22,4.306,3.349,0.301,0.067,0.354,0.397,0.349,0.435,0.274,0.13,0.245,0.168,0.197,1.948,0.243,3.165,1.704,1
Negative_209,1.633,4.082,4.898,3.265,3.265,0.273,0.053,0.302,0.359,0.335,0.388,0.172,0.09,0.201,0.184,0.156,0.866,2.166,2.598,1.732,0
Positive_202,7.229,2.41,5.422,15.06,3.614,0.217,0.163,0.283,0.38,0.343,0.325,0.248,0.194,0.218,0.188,0.194,3.584,1.195,2.688,1.792,1
Positive_214,5.516,1.679,4.556,10.072,4.077,0.194,0.12,0.333,0.405,0.365,0.355,0.337,0.173,0.24,0.171,0.224,2.824,0.86,2.332,2.087,1
Negative_219,3.912,5.379,5.623,5.868,4.645,0.254,0.081,0.296,0.389,0.362,0.355,0.194,0.108,0.174,0.167,0.145,2.046,2.813,2.941,2.429,0
Positive_132,5.488,1.524,3.659,2.134,5.488,0.256,0.101,0.396,0.466,0.296,0.448,0.248,0.165,0.196,0.159,0.159,2.742,0.762,1.828,2.742,1
Positive_223,8.812,2.299,3.831,4.598,6.513,0.23,0.142,0.291,0.402,0.36,0.345,0.285,0.212,0.223,0.165,0.185,4.37,1.14,1.9,3.23,1
Positive_184,6.494,2.338,3.117,5.325,4.545,0.245,0.184,0.287,0.375,0.395,0.345,0.274,0.243,0.238,0.164,0.191,3.403,1.225,1.633,2.381,1
Positive_71,6.114,1.381,4.734,12.426,4.339,0.244,0.135,0.305,0.38,0.346,0.355,0.308,0.192,0.268,0.192,0.233,3.128,0.707,2.422,2.22,1
Positive_36,5.096,0.318,5.096,9.873,3.503,0.261,0.115,0.347,0.401,0.341,0.392,0.256,0.185,0.227,0.169,0.192,2.698,0.168,2.698,1.854,1
Negative_212,3.371,1.685,2.528,2.247,8.427,0.247,0.073,0.424,0.475,0.306,0.472,0.27,0.13,0.203,0.132,0.175,1.649,0.824,1.237,4.122,0
Positive_0,6.421,1.23,5.191,5.191,4.508,0.255,0.13,0.288,0.365,0.372,0.347,0.285,0.193,0.256,0.172,0.219,3.16,0.605,2.555,2.219,1
Positive_69,6.019,2.315,7.407,6.713,3.704,0.222,0.123,0.301,0.384,0.373,0.361,0.318,0.19,0.278,0.151,0.227,3.066,1.179,3.773,1.887,1
Negative_62,5.221,1.707,3.765,6.175,5.673,0.28,0.114,0.353,0.422,0.347,0.393,0.247,0.162,0.2,0.16,0.177,2.734,0.894,1.972,2.971,0
Negative_104,4.19,2.476,2.286,2.476,10.476,0.333,0.093,0.474,0.541,0.288,0.512,0.204,0.151,0.143,0.132,0.124,2.27,1.342,1.239,5.677,0
Negative_185,1.626,1.626,1.626,2.439,8.943,0.285,0.057,0.366,0.398,0.325,0.439,0.246,0.074,0.189,0.172,0.131,0.798,0.798,0.798,4.387,0
Positive_11,3.812,2.346,5.279,5.572,3.812,0.249,0.091,0.308,0.37,0.396,0.358,0.253,0.129,0.226,0.194,0.188,2.03,1.249,2.811,2.03,1
Positive_58,7.818,0.651,4.56,9.446,3.909,0.202,0.15,0.322,0.407,0.365,0.345,0.268,0.193,0.212,0.16,0.19,3.944,0.328,2.3,1.972,1
Negative_44,4.418,2.478,4.526,3.341,8.19,0.342,0.097,0.391,0.46,0.329,0.442,0.203,0.154,0.18,0.143,0.154,2.369,1.329,2.427,4.391,0
Positive_101,7.24,0.905,5.882,4.977,3.62,0.249,0.149,0.262,0.344,0.353,0.344,0.277,0.205,0.245,0.195,0.182,3.404,0.425,2.765,1.702,1
Positive_72,6.866,1.194,5.97,2.09,5.075,0.23,0.107,0.436,0.516,0.299,0.466,0.257,0.183,0.171,0.105,0.159,3.564,0.62,3.099,2.634,1
Negative_192,2.842,2.584,1.292,1.034,13.695,0.292,0.088,0.494,0.548,0.315,0.522,0.228,0.142,0.161,0.106,0.145,1.564,1.422,0.711,7.534,0
Negative_206,4.101,4.416,8.202,7.256,5.678,0.227,0.161,0.227,0.312,0.407,0.293,0.288,0.228,0.253,0.18,0.222,2.043,2.2,4.087,2.829,0
Positive_25,8.955,2.985,1.99,5.473,2.488,0.204,0.139,0.279,0.398,0.318,0.328,0.31,0.205,0.25,0.185,0.21,4.23,1.41,0.94,1.175,1
Negative_56,5.31,2.876,2.876,3.982,5.31,0.279,0.115,0.343,0.425,0.33,0.407,0.244,0.182,0.228,0.169,0.182,2.7,1.462,1.462,2.7,0
Negative_120,3.875,1.875,1.625,5.375,7.875,0.324,0.096,0.411,0.469,0.271,0.484,0.238,0.148,0.183,0.143,0.15,2.007,0.971,0.842,4.079,0
Negative_133,1.984,2.778,3.77,2.579,7.937,0.306,0.046,0.425,0.472,0.315,0.478,0.137,0.066,0.109,0.139,0.097,1.124,1.574,2.136,4.496,0
Positive_92,4.6,0.969,4.6,5.085,5.811,0.242,0.111,0.324,0.38,0.373,0.375,0.274,0.17,0.243,0.211,0.206,2.29,0.482,2.29,2.892,1
Positive_10,3.937,2.1,9.449,7.874,4.199,0.252,0.094,0.318,0.378,0.399,0.36,0.255,0.129,0.237,0.184,0.211,2.053,1.095,4.927,2.189,1
Positive_6,6.197,1.69,5.07,7.887,4.225,0.254,0.124,0.273,0.352,0.361,0.358,0.305,0.201,0.294,0.234,0.218,3.058,0.834,2.502,2.085,1
Negative_25,4.304,1.871,0.873,4.554,13.911,0.346,0.089,0.498,0.56,0.237,0.54,0.213,0.157,0.133,0.082,0.113,2.295,0.998,0.466,7.419,0
Negative_151,2.051,6.667,3.59,9.231,3.333,0.321,0.118,0.295,0.382,0.287,0.421,0.296,0.183,0.293,0.231,0.201,1.061,3.45,1.858,1.725,0
Negative_26,2.308,2.308,3.077,4.615,1.538,0.231,0.069,0.477,0.523,0.308,0.508,0.109,0.07,0.07,0.07,0.062,1.394,1.394,1.859,0.929,0
Positive_140,4.5,0.0,5.0,6.0,4.0,0.19,0.125,0.315,0.36,0.405,0.355,0.312,0.201,0.221,0.186,0.201,2.289,0.0,2.543,2.035,1
Positive_150,6.366,0.796,3.979,1.326,7.427,0.236,0.133,0.382,0.454,0.326,0.438,0.29,0.221,0.191,0.144,0.157,3.079,0.385,1.925,3.593,1
Negative_202,2.823,5.847,0.605,3.831,9.476,0.268,0.095,0.458,0.544,0.216,0.532,0.22,0.139,0.174,0.111,0.131,1.479,3.063,0.317,4.964,0
Positive_130,7.874,1.575,2.362,10.236,4.724,0.189,0.11,0.394,0.488,0.252,0.433,0.349,0.198,0.222,0.127,0.175,3.928,0.786,1.178,2.357,1
Negative_53,3.1,1.794,1.794,1.794,7.341,0.261,0.093,0.423,0.471,0.331,0.48,0.253,0.155,0.191,0.139,0.149,1.553,0.899,0.899,3.677,0
Negative_111,4.532,0.906,0.302,6.647,14.502,0.266,0.166,0.441,0.495,0.272,0.45,0.245,0.173,0.1,0.133,0.1,2.281,0.456,0.152,7.298,0
Negative_203,0.369,8.118,3.69,10.701,3.321,0.306,0.085,0.288,0.373,0.292,0.395,0.263,0.126,0.259,0.241,0.196,0.191,4.206,1.912,1.721,0
Negative_40,3.462,8.077,2.692,3.077,10.769,0.335,0.096,0.365,0.481,0.277,0.435,0.193,0.147,0.178,0.124,0.127,1.844,4.302,1.434,5.736,0
Positive_137,5.738,1.913,1.639,1.913,3.279,0.21,0.117,0.421,0.497,0.306,0.467,0.26,0.189,0.173,0.159,0.145,2.846,0.949,0.813,1.627,1
Positive_194,3.803,2.685,4.474,4.698,7.159,0.262,0.121,0.318,0.383,0.367,0.367,0.269,0.179,0.247,0.161,0.215,1.93,1.363,2.271,3.633,1
Positive_13,6.061,0.758,3.409,4.545,6.818,0.223,0.133,0.295,0.364,0.364,0.348,0.319,0.221,0.278,0.179,0.243,2.839,0.355,1.597,3.194,1
Positive_144,4.569,0.508,4.061,3.046,6.599,0.284,0.102,0.36,0.411,0.35,0.416,0.235,0.168,0.194,0.148,0.163,2.376,0.264,2.112,3.432,1
Negative_164,5.179,1.992,3.586,3.984,8.101,0.224,0.112,0.377,0.449,0.367,0.396,0.258,0.18,0.198,0.158,0.182,2.6,1.0,1.8,4.067,0
Negative_218,4.444,1.556,3.333,6.444,5.333,0.34,0.122,0.37,0.43,0.346,0.416,0.222,0.168,0.204,0.15,0.171,2.377,0.832,1.783,2.853,0
Positive_131,4.49,3.673,8.163,15.102,2.449,0.237,0.106,0.265,0.347,0.306,0.331,0.344,0.148,0.299,0.225,0.27,2.176,1.78,3.957,1.187,1
Negative_112,3.663,1.832,2.564,4.212,10.806,0.289,0.11,0.397,0.452,0.315,0.43,0.261,0.172,0.206,0.167,0.178,1.835,0.918,1.284,5.412,0
Positive_74,6.522,2.174,10.87,7.246,2.174,0.174,0.203,0.261,0.348,0.449,0.283,0.343,0.277,0.27,0.102,0.27,3.262,1.087,5.436,1.087,1
Negative_224,2.454,3.988,4.294,1.84,11.043,0.316,0.055,0.423,0.488,0.337,0.488,0.148,0.098,0.148,0.114,0.12,1.394,2.265,2.439,6.272,0
Positive_63,5.634,0.939,7.042,5.634,2.817,0.192,0.141,0.315,0.38,0.366,0.376,0.288,0.193,0.222,0.179,0.198,2.729,0.455,3.411,1.365,1
Positive_47,4.044,1.682,6.375,6.287,4.28,0.259,0.11,0.328,0.385,0.359,0.368,0.248,0.165,0.209,0.175,0.185,2.018,0.839,3.182,2.136,1
Negative_233,4.739,1.896,3.318,2.37,7.109,0.237,0.133,0.379,0.445,0.355,0.408,0.295,0.21,0.219,0.167,0.214,2.347,0.939,1.643,3.52,0
Negative_11,2.642,5.66,9.434,3.396,6.038,0.264,0.072,0.219,0.302,0.362,0.313,0.182,0.11,0.235,0.212,0.178,1.36,2.914,4.856,3.108,0
Negative_171,2.532,4.43,5.063,5.696,3.165,0.297,0.063,0.31,0.38,0.304,0.399,0.204,0.121,0.21,0.204,0.146,1.242,2.172,2.483,1.552,0
Positive_199,3.361,3.361,5.672,7.773,5.672,0.294,0.111,0.324,0.391,0.359,0.391,0.225,0.162,0.217,0.187,0.175,1.775,1.775,2.996,2.996,1
Negative_108,3.876,4.421,1.419,3.493,7.697,0.311,0.126,0.392,0.475,0.287,0.472,0.238,0.177,0.167,0.125,0.129,2.025,2.31,0.741,4.021,0
Negative_170,3.448,3.785,1.43,3.364,11.522,0.282,0.099,0.426,0.498,0.308,0.469,0.235,0.148,0.158,0.137,0.131,1.801,1.977,0.747,6.02,0
Negative_191,2.523,2.752,4.358,1.835,3.44,0.259,0.055,0.376,0.429,0.349,0.42,0.145,0.078,0.122,0.154,0.106,1.356,1.479,2.342,1.849,0
