id,N,D,C,I,K,F,P,S,APAAC3,APAAC4,APAAC5,APAAC6,_PolarizabilityC3,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC3,_ChargeC2,_ChargeC3,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_SolventAccessibilityT12,_SolventAccessibilityT13,_SecondaryStrT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,_SolventAccessibilityD1001,_SecondaryStrD2001,_ChargeD2001,_ChargeD3001,_NormalizedVDWVD2001,DI,IA,ID,PS,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,PAAC22,label
Negative_974,2.358,3.302,3.774,2.358,5.189,5.189,4.245,6.604,2.347,3.287,3.757,5.635,0.241,0.259,0.278,0.255,0.825,0.09,0.34,0.278,0.41,0.349,0.241,0.259,0.396,0.265,0.265,0.289,0.005,0.175,0.227,0.209,0.19,1.415,0.943,1.415,0.472,6.132,1.415,0.0,0.47,0.0,0.47,1.777,2.031,1.269,2.792,2.284,3.553,4.509,0
Positive_1054,3.125,5.156,2.344,3.75,5.938,4.062,5.781,8.594,2.726,4.497,2.044,4.497,0.256,0.3,0.286,0.294,0.78,0.103,0.339,0.336,0.414,0.33,0.256,0.3,0.398,0.235,0.23,0.199,0.028,0.156,0.225,0.21,0.188,0.312,0.625,0.625,0.156,0.312,0.312,0.31,0.31,0.31,0.78,2.702,1.229,1.965,3.112,3.03,4.504,5.309,1
Negative_930,3.59,6.154,3.419,3.59,4.103,3.248,4.786,13.162,1.994,3.419,1.899,6.933,0.203,0.344,0.316,0.332,0.723,0.186,0.34,0.383,0.436,0.361,0.203,0.344,0.407,0.231,0.243,0.185,0.033,0.207,0.204,0.166,0.166,0.684,0.513,0.684,0.171,1.709,0.684,0.34,0.17,0.51,1.2,3.358,1.865,1.959,2.239,2.611,7.181,4.313,0
Negative_650,1.205,4.819,0.602,4.819,3.614,2.41,6.627,9.036,0.825,3.3,0.412,2.474,0.217,0.217,0.277,0.283,0.807,0.084,0.41,0.223,0.464,0.319,0.217,0.217,0.458,0.218,0.267,0.23,0.03,0.139,0.139,0.133,0.121,1.807,4.819,8.434,0.602,1.807,1.807,0.0,0.0,1.21,1.21,2.383,0.298,2.383,1.787,3.277,4.469,5.621,0
Positive_270,3.553,4.061,1.523,2.876,6.345,2.876,7.868,9.475,2.801,3.201,1.201,5.469,0.224,0.299,0.305,0.332,0.775,0.11,0.401,0.321,0.457,0.319,0.224,0.299,0.451,0.229,0.237,0.196,0.034,0.164,0.178,0.141,0.152,0.254,0.169,0.423,0.085,0.846,0.254,0.08,0.08,0.08,0.76,2.132,0.8,1.51,3.331,4.131,4.975,4.938,1
Negative_854,1.946,4.042,2.246,2.545,3.144,3.368,5.763,6.662,1.95,4.05,2.251,7.5,0.213,0.281,0.234,0.252,0.79,0.115,0.343,0.311,0.406,0.381,0.213,0.281,0.401,0.268,0.232,0.213,0.024,0.163,0.199,0.165,0.168,0.15,0.299,0.524,0.075,0.15,0.15,0.3,0.15,0.15,0.67,2.053,1.141,1.293,1.597,2.928,3.384,4.996,0
Negative_282,0.0,1.266,5.063,5.063,2.532,7.595,3.797,5.063,0.0,0.883,3.532,0.883,0.304,0.152,0.278,0.316,0.886,0.025,0.43,0.152,0.494,0.203,0.304,0.152,0.443,0.154,0.321,0.205,0.026,0.026,0.141,0.141,0.141,2.532,3.797,3.797,1.266,21.519,3.797,0.0,0.0,0.0,1.28,0.657,2.628,2.628,1.314,1.971,2.628,4.401,0
Negative_703,3.913,3.623,4.203,8.261,5.507,5.507,5.362,7.246,2.036,1.885,2.187,1.81,0.203,0.23,0.243,0.261,0.843,0.071,0.328,0.239,0.406,0.391,0.203,0.23,0.351,0.232,0.245,0.277,0.016,0.109,0.199,0.128,0.18,0.435,0.29,0.58,0.145,0.87,0.87,0.15,0.44,0.15,0.44,2.016,2.339,4.597,3.065,2.984,4.032,4.555,0
Positive_733,6.714,4.947,2.12,3.887,9.541,5.3,1.413,7.774,8.133,5.993,2.568,4.709,0.251,0.286,0.254,0.322,0.802,0.088,0.375,0.3,0.445,0.304,0.251,0.286,0.431,0.301,0.255,0.23,0.011,0.167,0.259,0.167,0.223,0.707,0.707,0.707,0.353,3.18,1.06,0.35,0.35,1.06,0.0,2.55,1.093,2.004,4.918,0.728,4.007,4.219,1
Negative_381,4.153,3.195,3.674,4.792,3.514,3.834,7.508,8.626,3.045,2.342,2.694,2.225,0.19,0.227,0.294,0.312,0.867,0.062,0.371,0.252,0.439,0.371,0.19,0.227,0.425,0.208,0.301,0.222,0.013,0.109,0.171,0.149,0.146,0.479,0.319,0.958,0.16,0.639,0.639,0.16,0.48,0.16,0.32,1.793,2.062,2.689,1.972,4.213,4.84,4.391,0
Positive_256,6.187,4.173,3.309,8.921,3.885,5.18,3.885,8.489,4.411,2.975,2.359,3.078,0.232,0.259,0.266,0.265,0.835,0.085,0.279,0.294,0.354,0.414,0.232,0.259,0.347,0.251,0.254,0.275,0.009,0.15,0.264,0.195,0.215,0.432,0.288,0.863,0.144,4.892,0.432,0.72,0.29,0.29,0.43,2.26,1.792,4.832,2.104,2.104,4.598,4.493,1
Positive_726,3.846,7.101,2.071,5.03,7.988,3.254,4.734,5.917,3.42,6.315,1.842,4.473,0.243,0.299,0.249,0.296,0.76,0.121,0.325,0.314,0.417,0.34,0.243,0.299,0.385,0.255,0.255,0.234,0.03,0.184,0.205,0.181,0.178,1.183,0.592,2.071,0.296,0.888,1.183,0.3,0.59,0.3,0.3,3.666,1.069,2.597,4.123,2.444,3.054,4.971,1
Negative_410,1.093,2.186,2.732,2.732,2.004,2.732,11.475,6.375,1.095,2.189,2.736,5.29,0.219,0.273,0.268,0.288,0.803,0.075,0.35,0.301,0.399,0.383,0.219,0.273,0.399,0.252,0.239,0.199,0.026,0.113,0.214,0.162,0.17,0.729,1.093,2.914,0.182,1.275,1.275,0.36,0.18,0.0,1.09,1.09,1.362,1.362,0.999,5.72,3.178,5.029,0
Positive_618,4.849,4.849,1.616,6.466,8.19,4.203,6.466,8.513,4.122,4.122,1.374,6.686,0.26,0.345,0.288,0.278,0.741,0.127,0.288,0.363,0.352,0.388,0.26,0.345,0.336,0.265,0.198,0.251,0.031,0.184,0.274,0.222,0.241,0.216,1.078,0.539,0.108,2.047,2.047,0.22,0.22,0.43,0.32,2.516,0.839,3.355,4.25,3.355,4.417,4.87,1
Negative_867,7.143,6.122,8.163,6.122,6.122,6.122,5.102,3.061,5.023,4.305,5.741,2.153,0.245,0.286,0.204,0.276,0.827,0.092,0.204,0.316,0.347,0.408,0.245,0.286,0.255,0.299,0.258,0.206,0.021,0.165,0.278,0.165,0.247,3.061,3.061,5.102,1.02,35.714,3.061,0.0,0.0,1.03,0.0,3.383,4.511,3.383,3.383,2.819,1.692,4.755,0
Positive_607,2.583,6.273,2.952,5.535,5.166,2.214,5.166,3.321,1.978,4.803,2.26,4.803,0.21,0.28,0.199,0.251,0.786,0.125,0.273,0.31,0.365,0.424,0.21,0.28,0.332,0.256,0.189,0.248,0.033,0.211,0.244,0.159,0.196,0.738,1.476,4.428,0.369,1.107,1.107,0.37,0.0,0.37,0.37,3.261,1.535,2.877,2.685,2.685,1.726,5.167,1
Positive_651,2.988,6.375,1.594,3.187,2.39,2.789,5.578,5.179,2.485,5.301,1.326,5.798,0.247,0.321,0.257,0.279,0.765,0.133,0.311,0.361,0.39,0.363,0.247,0.321,0.384,0.285,0.2,0.259,0.022,0.206,0.24,0.186,0.186,1.195,0.398,1.195,0.199,2.39,1.195,0.0,0.2,0.0,0.2,3.169,0.792,1.584,1.188,2.773,2.575,5.13,1
Positive_674,1.935,3.507,1.572,3.144,3.99,5.925,7.739,8.706,1.84,3.335,1.495,4.945,0.259,0.252,0.307,0.27,0.822,0.087,0.335,0.29,0.386,0.356,0.259,0.252,0.411,0.232,0.269,0.262,0.008,0.144,0.228,0.19,0.177,0.484,0.242,0.363,0.121,2.297,0.726,0.0,0.12,0.0,0.48,1.838,0.824,1.647,2.091,4.055,4.562,5.038,1
Negative_310,1.676,2.235,1.117,4.469,3.352,2.235,8.939,11.173,1.25,1.667,0.833,4.582,0.168,0.207,0.302,0.296,0.844,0.084,0.397,0.212,0.43,0.402,0.168,0.207,0.425,0.197,0.32,0.264,0.017,0.129,0.157,0.157,0.14,3.911,1.676,5.028,0.559,32.402,5.028,0.0,1.12,0.0,0.56,1.239,0.619,2.478,1.858,4.956,6.194,4.707,0
Negative_525,2.051,3.077,5.641,2.051,10.256,4.615,5.641,8.718,0.869,1.304,2.39,2.172,0.308,0.338,0.287,0.277,0.733,0.082,0.359,0.359,0.446,0.246,0.308,0.338,0.405,0.268,0.186,0.216,0.021,0.134,0.191,0.16,0.17,2.051,1.026,2.051,0.513,9.231,2.051,0.0,0.0,0.0,0.52,1.58,2.896,1.053,5.265,2.896,4.475,5.141,0
Positive_624,4.521,4.787,1.596,3.457,7.181,7.447,2.66,7.447,4.279,4.531,1.511,8.811,0.282,0.332,0.25,0.253,0.747,0.141,0.287,0.346,0.351,0.367,0.282,0.332,0.322,0.291,0.195,0.261,0.035,0.195,0.248,0.197,0.229,0.798,0.798,0.798,0.266,0.532,0.798,0.27,0.27,0.0,0.0,2.457,0.819,1.774,3.686,1.365,3.822,5.307,1
Positive_512,7.342,4.964,0.724,5.067,4.654,4.343,4.757,8.066,7.773,5.256,0.767,6.679,0.236,0.315,0.273,0.299,0.799,0.113,0.314,0.333,0.371,0.393,0.236,0.315,0.373,0.254,0.225,0.228,0.024,0.179,0.245,0.194,0.203,0.724,0.207,0.517,0.103,3.723,0.724,0.21,0.41,0.21,0.41,2.572,0.375,2.626,2.412,2.465,4.18,4.956,1
Negative_620,4.712,4.712,2.304,3.77,4.293,2.827,8.168,7.33,4.691,4.691,2.294,4.899,0.216,0.304,0.287,0.315,0.796,0.096,0.35,0.323,0.42,0.364,0.216,0.304,0.405,0.294,0.258,0.229,0.023,0.157,0.243,0.165,0.208,0.209,0.314,0.314,0.105,0.209,0.209,0.31,0.31,0.21,0.42,2.432,1.189,1.946,2.216,4.216,3.783,4.666,0
Negative_1058,2.7,4.219,2.616,4.304,3.629,2.616,5.57,7.595,2.997,4.683,2.903,6.744,0.217,0.284,0.266,0.269,0.798,0.103,0.352,0.316,0.42,0.363,0.217,0.284,0.408,0.244,0.238,0.239,0.027,0.152,0.23,0.173,0.193,0.506,0.169,1.35,0.084,0.253,0.506,0.17,0.34,0.34,0.25,2.2,1.364,2.245,1.893,2.905,3.961,4.916,0
Positive_325,2.658,2.99,1.993,5.316,5.98,7.309,7.973,4.319,2.108,2.371,1.58,2.898,0.266,0.236,0.259,0.289,0.827,0.066,0.369,0.243,0.419,0.316,0.266,0.236,0.409,0.247,0.23,0.273,0.02,0.1,0.207,0.173,0.183,1.329,0.664,2.658,0.332,0.997,1.329,0.0,0.33,0.0,0.33,1.532,1.021,2.723,3.063,4.084,2.212,5.381,1
Positive_26,2.174,4.022,2.935,2.5,4.348,3.043,8.043,8.804,1.809,3.346,2.442,4.973,0.208,0.287,0.289,0.335,0.812,0.1,0.401,0.308,0.471,0.322,0.208,0.287,0.458,0.214,0.245,0.18,0.014,0.153,0.196,0.12,0.158,0.217,0.326,0.326,0.109,0.217,0.217,0.11,0.22,0.22,0.76,2.193,1.6,1.363,2.371,4.385,4.8,4.651,1
Positive_642,3.876,8.01,2.326,4.91,7.494,5.426,3.359,5.168,4.724,9.762,2.835,6.929,0.289,0.349,0.22,0.261,0.736,0.137,0.251,0.377,0.354,0.357,0.289,0.349,0.32,0.355,0.22,0.22,0.026,0.212,0.324,0.212,0.282,0.775,0.517,0.775,0.258,2.326,1.292,0.26,0.0,0.26,0.0,3.883,1.128,2.38,3.633,1.628,2.506,5.309,1
Positive_440,5.82,5.291,2.116,5.82,5.291,7.937,7.407,4.762,7.673,6.976,2.79,8.37,0.27,0.339,0.233,0.291,0.762,0.116,0.275,0.349,0.349,0.381,0.27,0.339,0.323,0.314,0.202,0.266,0.027,0.186,0.287,0.16,0.261,2.116,1.058,1.587,0.529,5.291,2.116,0.53,0.53,0.0,0.0,2.577,1.031,2.834,2.577,3.607,2.319,5.08,1
Negative_1069,0.704,3.521,5.634,3.521,2.113,3.521,9.859,14.085,0.803,4.015,6.424,4.015,0.261,0.211,0.345,0.345,0.817,0.07,0.401,0.239,0.493,0.246,0.261,0.211,0.444,0.22,0.333,0.22,0.007,0.121,0.206,0.156,0.177,2.817,1.408,2.817,0.704,9.155,2.817,0.0,0.0,0.0,0.71,1.746,2.794,1.746,1.048,4.89,6.986,4.975,0
Negative_1227,2.836,2.647,2.647,5.671,3.781,4.915,3.592,10.397,1.521,1.42,1.42,2.839,0.238,0.225,0.272,0.267,0.83,0.079,0.342,0.242,0.395,0.367,0.238,0.225,0.391,0.184,0.278,0.256,0.015,0.102,0.142,0.172,0.114,0.567,0.567,1.701,0.189,2.268,0.567,0.0,0.57,0.19,0.38,1.394,1.394,2.986,1.991,1.891,5.474,4.862,0
Negative_1317,0.639,5.112,1.597,3.834,3.834,3.514,7.029,10.543,0.483,3.865,1.208,6.522,0.214,0.243,0.326,0.326,0.78,0.137,0.406,0.262,0.473,0.313,0.214,0.243,0.463,0.215,0.279,0.253,0.022,0.224,0.192,0.135,0.157,1.278,1.278,3.195,0.319,0.958,1.278,0.0,0.32,0.64,0.64,2.674,0.835,2.006,2.006,3.677,5.515,4.473,0
Positive_461,3.125,4.018,1.339,5.357,6.25,7.143,4.911,10.268,3.326,4.277,1.425,7.127,0.25,0.259,0.277,0.304,0.804,0.107,0.339,0.272,0.393,0.357,0.25,0.259,0.388,0.238,0.265,0.229,0.013,0.193,0.197,0.157,0.17,0.893,1.786,2.679,0.446,0.893,0.893,0.9,0.0,0.0,0.0,2.051,0.683,2.734,3.19,2.506,5.24,4.532,1
Positive_673,2.669,5.544,2.053,4.312,4.312,5.955,6.776,3.901,1.556,3.232,1.197,3.112,0.285,0.261,0.257,0.267,0.797,0.109,0.298,0.281,0.374,0.341,0.285,0.261,0.359,0.222,0.251,0.282,0.023,0.167,0.202,0.185,0.165,1.027,0.821,3.696,0.205,1.027,1.027,0.21,0.21,0.0,0.21,2.799,1.037,2.177,2.177,3.421,1.97,4.991,1
Positive_1044,5.607,5.607,1.246,6.854,3.738,3.115,2.804,4.05,6.189,6.189,1.375,7.565,0.206,0.299,0.231,0.29,0.788,0.125,0.355,0.33,0.424,0.371,0.206,0.299,0.414,0.287,0.237,0.266,0.022,0.209,0.228,0.169,0.188,2.804,0.623,0.935,0.312,12.15,2.804,0.0,0.62,0.0,0.31,2.886,0.641,3.528,1.924,1.443,2.085,4.975,1
Positive_1037,3.422,5.133,1.711,5.703,7.224,3.992,6.274,7.985,3.119,4.679,1.56,7.625,0.278,0.331,0.287,0.295,0.738,0.135,0.323,0.35,0.392,0.331,0.278,0.331,0.382,0.25,0.234,0.229,0.034,0.19,0.219,0.187,0.177,1.331,0.38,1.331,0.19,1.521,1.521,0.19,0.38,0.19,0.19,2.547,0.849,2.83,3.584,3.113,3.962,5.482,1
Positive_910,2.966,6.568,0.847,3.602,2.86,4.343,6.78,6.78,2.547,5.64,0.727,5.003,0.261,0.294,0.274,0.31,0.776,0.124,0.324,0.326,0.398,0.341,0.261,0.294,0.394,0.239,0.243,0.227,0.021,0.197,0.22,0.182,0.17,0.424,0.212,0.424,0.106,3.602,0.424,0.42,0.11,0.32,0.42,3.236,0.417,1.775,1.409,3.341,3.341,5.009,1
Positive_429,3.202,4.926,1.478,5.911,3.941,3.202,2.956,7.882,3.156,4.856,1.457,6.07,0.209,0.251,0.256,0.31,0.808,0.111,0.404,0.276,0.468,0.323,0.209,0.251,0.453,0.23,0.244,0.202,0.027,0.173,0.188,0.126,0.16,1.232,0.985,1.232,0.246,5.172,1.232,0.25,0.99,0.49,0.49,2.585,0.776,3.102,2.068,1.551,4.137,4.862,1
Positive_180,2.215,4.983,1.772,4.43,6.645,3.322,5.759,6.645,2.196,4.941,1.757,5.49,0.266,0.295,0.275,0.254,0.782,0.105,0.324,0.327,0.392,0.342,0.266,0.295,0.389,0.253,0.264,0.246,0.033,0.161,0.227,0.192,0.184,0.443,0.221,0.443,0.111,2.658,0.443,0.11,0.22,0.11,0.44,2.521,0.896,2.241,3.361,2.913,3.361,5.028,1
Positive_1052,4.441,5.13,1.072,3.599,4.058,4.441,6.202,5.972,4.814,5.561,1.162,6.641,0.268,0.307,0.269,0.276,0.795,0.113,0.308,0.341,0.37,0.362,0.268,0.307,0.384,0.277,0.241,0.221,0.02,0.185,0.271,0.197,0.205,0.766,0.153,2.986,0.077,2.374,0.919,0.31,0.31,0.08,0.38,2.577,0.539,1.808,2.038,3.115,3.0,5.254,1
Positive_313,3.487,4.995,1.602,3.582,3.487,4.241,5.09,5.844,3.358,4.81,1.543,6.716,0.242,0.299,0.236,0.272,0.771,0.12,0.314,0.322,0.38,0.378,0.242,0.299,0.369,0.289,0.224,0.231,0.019,0.192,0.251,0.175,0.214,0.189,0.283,3.393,0.094,5.655,1.131,0.47,0.09,0.19,0.28,2.46,0.789,1.764,1.717,2.507,2.878,5.057,1
Positive_412,1.559,2.895,1.893,5.234,3.563,5.234,6.013,7.35,0.956,1.774,1.16,3.822,0.232,0.246,0.255,0.251,0.807,0.091,0.367,0.264,0.415,0.353,0.232,0.246,0.404,0.213,0.233,0.265,0.018,0.138,0.185,0.169,0.159,0.78,0.223,1.893,0.111,0.78,0.78,0.11,0.78,0.11,0.56,1.497,0.979,2.707,1.843,3.11,3.801,4.854,1
Negative_959,3.546,3.546,1.418,5.674,2.837,2.128,7.801,9.22,1.572,1.572,0.629,4.402,0.22,0.291,0.319,0.298,0.752,0.135,0.376,0.319,0.426,0.355,0.22,0.291,0.418,0.136,0.264,0.214,0.036,0.186,0.15,0.143,0.114,3.546,2.128,2.128,0.709,16.312,3.546,0.0,0.0,0.71,0.71,1.88,0.752,3.009,1.504,4.137,4.889,4.444,0
Negative_701,3.062,4.432,1.612,2.82,2.256,2.579,7.977,8.058,2.855,4.132,1.503,6.311,0.184,0.272,0.283,0.318,0.803,0.112,0.392,0.295,0.453,0.363,0.184,0.272,0.437,0.254,0.273,0.207,0.016,0.173,0.202,0.132,0.16,0.242,0.161,0.403,0.081,1.531,0.242,0.24,0.08,0.0,0.73,2.299,0.836,1.463,1.17,4.139,4.181,4.599,0
Positive_304,2.802,5.603,1.078,3.879,4.31,3.233,2.371,7.759,3.016,6.031,1.16,6.96,0.239,0.308,0.233,0.259,0.772,0.121,0.323,0.332,0.39,0.371,0.239,0.308,0.369,0.294,0.222,0.251,0.041,0.179,0.233,0.181,0.207,0.862,0.431,1.94,0.216,0.862,0.862,0.22,0.43,0.0,0.22,2.757,0.53,1.909,2.121,1.167,3.818,5.135,1
Negative_919,0.0,2.597,2.597,3.896,11.688,1.299,10.39,6.494,0.0,0.847,0.847,4.235,0.234,0.403,0.221,0.273,0.649,0.156,0.39,0.403,0.442,0.325,0.234,0.403,0.39,0.276,0.197,0.132,0.092,0.197,0.158,0.171,0.158,3.896,2.597,5.195,1.299,12.987,3.896,0.0,1.32,0.0,0.0,1.303,1.303,1.955,5.866,5.214,3.259,4.434,0
Negative_34,1.13,1.13,7.345,0.565,3.955,2.26,13.559,10.169,1.027,1.027,6.674,4.621,0.243,0.243,0.328,0.379,0.808,0.062,0.458,0.271,0.542,0.215,0.243,0.243,0.497,0.227,0.261,0.182,0.017,0.097,0.131,0.108,0.108,1.13,2.26,7.345,0.565,1.13,1.13,0.0,0.0,0.0,2.27,0.564,3.664,0.282,1.973,6.764,5.073,5.019,0
Negative_438,0.83,4.979,1.66,2.905,2.905,2.49,11.618,7.884,0.558,3.349,1.117,2.233,0.207,0.237,0.278,0.349,0.801,0.083,0.398,0.261,0.465,0.328,0.207,0.237,0.44,0.217,0.279,0.163,0.013,0.121,0.146,0.125,0.129,1.245,0.83,1.245,0.415,9.959,1.245,0.0,0.0,0.0,0.83,2.487,0.829,1.451,1.451,5.803,3.938,4.63,0
Negative_279,2.19,5.109,2.19,5.109,3.65,6.569,3.65,5.109,1.117,2.606,1.117,3.351,0.263,0.241,0.212,0.255,0.81,0.117,0.285,0.27,0.358,0.38,0.263,0.241,0.35,0.199,0.235,0.265,0.029,0.118,0.191,0.199,0.14,5.839,2.19,16.058,0.73,5.839,5.839,0.0,1.47,0.74,0.0,2.601,1.115,2.601,1.859,1.859,2.601,5.044,0
Negative_471,4.788,4.241,2.599,4.378,4.378,3.967,4.788,12.312,2.455,2.174,1.332,2.946,0.219,0.279,0.312,0.319,0.804,0.1,0.357,0.298,0.425,0.356,0.219,0.279,0.409,0.181,0.268,0.216,0.016,0.145,0.167,0.164,0.137,0.41,0.41,0.547,0.137,1.642,0.41,0.41,0.14,0.0,0.55,2.315,1.419,2.39,2.39,2.614,6.721,4.528,0
Negative_314,2.5,0.625,5.0,6.25,2.5,3.75,7.5,15.0,2.382,0.596,4.764,4.169,0.244,0.2,0.4,0.319,0.881,0.05,0.425,0.244,0.481,0.275,0.244,0.2,0.506,0.119,0.283,0.176,0.013,0.063,0.113,0.145,0.094,2.5,5.625,1.25,0.625,3.125,2.5,0.0,0.63,0.0,1.26,0.338,2.703,3.378,1.351,4.054,8.108,4.597,0
Negative_1012,4.717,1.887,3.774,3.774,4.717,0.943,5.66,7.547,5.218,2.087,4.175,2.087,0.264,0.274,0.34,0.255,0.821,0.038,0.302,0.302,0.358,0.377,0.264,0.274,0.377,0.238,0.238,0.276,0.0,0.076,0.2,0.152,0.181,3.774,3.774,2.83,0.943,14.151,3.774,0.0,0.0,0.0,0.95,0.97,1.94,1.94,2.425,2.91,3.88,4.676,0
Positive_810,2.66,4.521,2.061,4.056,3.856,4.322,6.715,7.912,1.906,3.24,1.477,6.718,0.205,0.299,0.267,0.277,0.775,0.139,0.336,0.332,0.402,0.393,0.205,0.299,0.392,0.26,0.258,0.234,0.027,0.19,0.227,0.18,0.183,0.598,0.133,0.199,0.066,0.665,0.665,0.0,0.27,0.13,0.53,2.412,1.099,2.163,2.057,3.582,4.22,4.675,1
Negative_1103,3.593,4.192,1.796,4.79,4.79,3.593,2.994,11.976,4.097,4.78,2.048,2.731,0.251,0.234,0.275,0.359,0.826,0.066,0.371,0.257,0.431,0.317,0.251,0.234,0.455,0.289,0.283,0.205,0.012,0.108,0.229,0.163,0.169,1.198,1.198,1.796,0.599,17.365,1.198,0.0,0.0,0.6,0.6,2.053,0.879,2.346,2.346,1.466,5.864,5.034,0
Negative_152,1.976,1.976,2.767,1.186,3.953,3.557,9.881,8.3,1.792,1.792,2.51,5.378,0.233,0.261,0.261,0.352,0.794,0.079,0.443,0.277,0.49,0.277,0.233,0.261,0.462,0.246,0.27,0.143,0.016,0.127,0.139,0.099,0.135,1.186,0.791,4.348,0.395,1.186,1.186,0.0,0.0,0.0,0.4,0.965,1.351,0.579,1.93,4.824,4.052,5.39,0
Negative_814,3.093,2.405,3.093,4.467,3.093,4.811,4.467,9.278,1.661,1.291,1.661,1.661,0.227,0.179,0.296,0.261,0.88,0.055,0.378,0.199,0.433,0.34,0.227,0.179,0.436,0.169,0.3,0.248,0.017,0.093,0.162,0.141,0.121,1.031,0.687,1.375,0.344,1.031,1.031,0.0,1.03,0.0,0.0,1.33,1.711,2.471,1.711,2.471,5.132,4.082,0
Negative_599,3.657,4.782,3.376,4.501,3.516,4.219,6.751,6.61,3.644,4.765,3.364,4.906,0.245,0.273,0.295,0.274,0.812,0.097,0.326,0.298,0.408,0.347,0.245,0.273,0.394,0.221,0.265,0.249,0.02,0.161,0.211,0.159,0.165,0.422,0.281,0.422,0.141,2.813,0.422,0.28,0.28,0.14,0.7,2.473,1.746,2.328,1.819,3.492,3.419,4.805,0
Positive_189,2.597,4.762,1.732,4.329,6.061,5.628,4.762,6.061,2.174,3.987,1.45,5.437,0.26,0.286,0.255,0.26,0.792,0.113,0.329,0.312,0.394,0.346,0.26,0.286,0.39,0.222,0.317,0.243,0.026,0.157,0.204,0.165,0.165,2.597,0.866,2.597,0.433,6.061,2.597,1.3,0.43,0.0,0.0,2.429,0.883,2.208,3.091,2.429,3.091,4.868,1
Negative_1231,2.604,2.083,6.25,1.562,4.688,1.562,12.5,17.188,1.387,1.11,3.33,1.665,0.229,0.286,0.401,0.391,0.802,0.052,0.464,0.328,0.547,0.224,0.229,0.286,0.51,0.152,0.194,0.126,0.01,0.094,0.12,0.089,0.105,2.083,2.083,2.083,0.521,5.208,2.083,0.0,0.0,0.0,2.62,1.141,3.424,0.856,2.569,6.849,9.417,4.906,0
Positive_970,2.308,5.128,1.026,5.128,6.667,3.59,7.949,7.436,1.598,3.551,0.711,5.15,0.279,0.351,0.285,0.282,0.726,0.126,0.328,0.372,0.39,0.331,0.279,0.351,0.385,0.237,0.224,0.237,0.021,0.195,0.203,0.188,0.165,1.538,0.513,1.026,0.256,0.769,1.538,0.26,0.51,0.0,0.77,2.509,0.502,2.509,3.262,3.889,3.638,5.566,1
Positive_280,3.784,6.757,0.405,3.378,4.73,3.514,6.757,4.865,4.2,7.499,0.45,6.599,0.232,0.289,0.242,0.328,0.777,0.127,0.384,0.305,0.455,0.312,0.232,0.289,0.428,0.277,0.229,0.23,0.022,0.211,0.221,0.133,0.191,0.27,1.081,1.081,0.135,0.405,0.405,0.27,0.14,0.14,0.14,3.342,0.2,1.671,2.34,3.342,2.407,5.162,1
Positive_409,2.427,3.883,1.456,6.311,5.34,3.155,4.126,6.068,2.806,4.489,1.683,7.015,0.226,0.269,0.231,0.25,0.796,0.1,0.391,0.284,0.444,0.33,0.226,0.269,0.427,0.248,0.238,0.229,0.036,0.144,0.187,0.158,0.163,1.214,0.485,4.369,0.243,8.01,1.214,0.0,1.46,0.0,0.0,1.97,0.739,3.202,2.71,2.094,3.079,5.1,1
Negative_955,0.833,1.667,2.5,3.75,2.5,7.917,5.0,7.5,0.349,0.699,1.048,0.873,0.271,0.121,0.275,0.225,0.904,0.037,0.362,0.142,0.404,0.325,0.271,0.121,0.429,0.134,0.31,0.289,0.004,0.071,0.113,0.184,0.096,0.833,0.833,0.833,0.417,4.583,0.833,0.0,0.42,0.0,1.26,0.902,1.353,2.03,1.353,2.707,4.06,4.506,0
Positive_857,6.486,5.071,2.123,4.481,4.717,5.189,6.84,8.019,6.325,4.945,2.07,5.404,0.235,0.342,0.3,0.314,0.805,0.106,0.309,0.371,0.381,0.384,0.235,0.342,0.37,0.242,0.215,0.201,0.015,0.178,0.236,0.187,0.196,0.236,0.708,0.943,0.118,3.42,0.236,0.24,0.12,0.35,0.83,2.752,1.152,2.432,2.56,3.712,4.352,4.504,1
Positive_747,5.0,4.231,2.308,5.0,6.538,4.615,3.846,7.692,7.968,6.743,3.678,17.162,0.273,0.362,0.262,0.246,0.738,0.15,0.254,0.381,0.319,0.408,0.273,0.362,0.319,0.305,0.224,0.293,0.042,0.22,0.297,0.236,0.243,1.538,0.769,1.154,0.385,6.538,6.538,0.0,0.39,0.0,0.39,2.1,1.146,2.482,3.245,1.909,3.818,5.058,1
Negative_1027,3.118,3.837,5.755,2.878,2.878,3.837,7.914,7.194,2.11,2.596,3.894,3.57,0.266,0.302,0.247,0.3,0.767,0.091,0.35,0.343,0.446,0.288,0.266,0.302,0.398,0.255,0.216,0.219,0.024,0.144,0.236,0.178,0.207,1.439,0.48,2.158,0.24,10.312,2.398,0.48,0.48,0.0,0.24,1.88,2.819,1.41,1.41,3.877,3.524,4.894,0
